Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
-30.00900;10.99333;     -0.32150;3.37480
-29.75900;10.94294;     -0.32088;3.37533
-29.50900;10.89289;     -0.32073;3.37585
-29.25900;10.84284;     -0.32046;3.37637
-29.00900;10.79281;     -0.32053;3.37689
-28.75900;10.74277;     -0.32071;3.37741
-28.50900;10.69275;     -0.32077;3.37793
-28.25900;10.64274;     -0.32090;3.37845
-28.00900;10.59274;     -0.32110;3.37896
-27.75900;10.54276;     -0.32121;3.37947
-27.50900;10.49279;     -0.32123;3.37998
-27.25900;10.44285;     -0.32138;3.38049
-27.00900;10.39292;     -0.32150;3.38099
-26.75900;10.34300;     -0.32154;3.38150
-26.50900;10.29309;     -0.32171;3.38200
-26.25900;10.24318;     -0.32181;3.38250
-26.00900;10.19327;     -0.32200;3.38300
-25.75900;10.14336;     -0.32182;3.38350
-25.50900;10.09343;     -0.32207;3.38399
-25.25900;10.04348;     -0.32223;3.38449
-25.00900; 9.99352;     -0.32237;3.38498
-24.75900; 9.94354;     -0.32256;3.38547
-24.50900; 9.89354;     -0.32266;3.38596
-24.25900; 9.84355;     -0.32285;3.38644
-24.00900; 9.79354;     -0.32304;3.38693
-23.75900; 9.74353;     -0.32347;3.38741
-23.50900; 9.69352;     -0.32373;3.38789
-23.25900; 9.64353;     -0.32417;3.38837
-23.00900; 9.59354;     -0.32423;3.38885
-22.75900; 9.54357;     -0.32443;3.38932
-22.50900; 9.49361;     -0.32462;3.38980
-22.25900; 9.44366;     -0.32475;3.39027
-22.00900; 9.39371;     -0.32488;3.39074
-21.75900; 9.34377;     -0.32507;3.39121
-21.50900; 9.29382;     -0.32529;3.39167
-21.25900; 9.24387;     -0.32532;3.39214
-21.00900; 9.19392;     -0.32567;3.39260
-20.75900; 9.14395;     -0.32600;3.39306
-20.50900; 9.09398;     -0.32631;3.39352
-20.25900; 9.04401;     -0.32646;3.39398
-20.00900; 8.99402;     -0.32682;3.39443
-19.75900; 8.94403;     -0.32718;3.39489
-19.50900; 8.89403;     -0.32747;3.39534
-19.25900; 8.84403;     -0.32792;3.39579
-19.00900; 8.79403;     -0.32822;3.39624
-18.75900; 8.74402;     -0.32852;3.39668
