Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
-30.01500;10.99417;     -0.45704;3.37479
-29.76500;10.94328;     -0.47160;3.37531
-29.51500;10.89324;     -0.48692;3.37584
-29.26500;10.84320;     -0.50428;3.37636
-29.01500;10.79319;     -0.52323;3.37688
-28.76500;10.74317;     -0.54188;3.37740
-28.51500;10.69317;     -0.56427;3.37792
-28.26500;10.64317;     -0.58622;3.37843
-28.01500;10.59319;     -0.61002;3.37895
-27.76500;10.54321;     -0.63381;3.37946
-27.51500;10.49324;     -0.65995;3.37997
-27.26500;10.44328;     -0.69353;3.38048
-27.01500;10.39331;     -0.72616;3.38098
-26.76500;10.34335;     -0.76063;3.38149
-26.51500;10.29339;     -0.80175;3.38199
-26.26500;10.24343;     -0.84245;3.38249
-26.01500;10.19346;     -0.88193;3.38299
-25.76500;10.14349;     -0.92728;3.38349
-25.51500;10.09352;     -0.98337;3.38398
-25.26500;10.04355;     -1.04720;3.38448
-25.01500; 9.99357;     -1.12125;3.38497
-24.76500; 9.94359;     -1.19124;3.38546
-24.51500; 9.89361;     -1.27729;3.38595
-24.26500; 9.84364;     -1.36785;3.38643
-24.01500; 9.79368;     -1.43853;3.38692
-23.76500; 9.74375;     -1.29368;3.38740
-23.51500; 9.69384;     -1.06340;3.38788
-23.26500; 9.64394;     -1.12830;3.38836
-23.01500; 9.59404;     -1.20360;3.38884
-22.76500; 9.54413;     -1.29077;3.38931
-22.51500; 9.49419;     -1.38411;3.38979
-22.26500; 9.44423;     -1.49103;3.39026
-22.01500; 9.39424;     -1.62175;3.39073
-21.76500; 9.34422;     -1.79045;3.39120
-21.51500; 9.29417;     -1.99684;3.39166
-21.26500; 9.24408;     -2.26322;3.39213
-21.01500; 9.19399;     -2.56519;3.39259
-20.76500; 9.14392;     -2.67340;3.39305
-20.51500; 9.09389;     -0.31134;3.39351
-20.26500; 9.04387;     -0.31336;3.39397
-20.01500; 8.99385;     -0.31362;3.39442
-19.76500; 8.94384;     -0.31359;3.39488
-19.51500; 8.89384;     -0.31389;3.39533
-19.26500; 8.84386;     -0.31453;3.39578
-19.01500; 8.79388;     -0.31471;3.39623
-18.76500; 8.74390;     -0.31518;3.39667
-18.51500; 8.69390;     -0.31548;3.39712
-18.26500; 8.64390;     -0.31616;3.39756
-18.01500; 8.59390;     -0.31654;3.39800
-17.76500; 8.54390;     -0.31689;3.39844
-17.51500; 8.49391;     -0.31728;3.39888
-17.26500; 8.44392;     -0.31773;3.39931
-17.01500; 8.39392;     -0.31760;3.39975
-16.76500; 8.34392;     -0.31872;3.40018
-16.51500; 8.29391;     -0.31912;3.40061
-16.26500; 8.24390;     -0.31978;3.40104
-16.01500; 8.19388;     -0.32018;3.40147
-15.76500; 8.14386;     -0.32059;3.40189
-15.51500; 8.09384;     -0.32126;3.40231
-15.26500; 8.04382;     -0.32221;3.40273
-15.01500; 7.99380;     -0.32261;3.40315
-14.76500; 7.94378;     -0.32337;3.40357
-14.51500; 7.89377;     -0.32408;3.40399
-14.26500; 7.84376;     -0.32455;3.40440
-14.01500; 7.79376;     -0.32575;3.40481
-13.76500; 7.74378;     -0.32611;3.40522
-13.51500; 7.69380;     -0.32702;3.40563
-13.26500; 7.64383;     -0.32756;3.40604
-13.01500; 7.59387;     -0.32809;3.40644
-12.76500; 7.54392;     -0.32883;3.40685
-12.51500; 7.49396;     -0.32931;3.40725
-12.26500; 7.44400;     -0.33016;3.40765
-12.01500; 7.39404;     -0.33103;3.40805
-11.76500; 7.34408;     -0.33126;3.40844
-11.51500; 7.29411;     -0.33223;3.40884
-11.26500; 7.24413;     -0.33252;3.40923
-11.01500; 7.19416;     -0.33344;3.40962
-10.76500; 7.14418;     -0.33399;3.41001
-10.51500; 7.09422;     -0.33467;3.41039
-10.26500; 7.04426;     -0.33513;3.41078
-10.01500; 6.99430;     -0.33555;3.41116
 -9.76500; 6.94436;     -0.33581;3.41155
 -9.51500; 6.89442;     -0.33624;3.41192
 -9.26500; 6.84448;     -0.33636;3.41230
 -9.01500; 6.79454;     -0.33621;3.41268
 -8.76500; 6.74460;     -0.33549;3.41305
 -8.51500; 6.69464;     -0.33486;3.41343
 -8.26500; 6.64468;     -0.33418;3.41380
 -8.01500; 6.59470;     -0.33355;3.41417
 -7.76500; 6.54471;     -0.33129;3.41453
 -7.51500; 6.49472;     -0.32958;3.41490
 -7.26500; 6.44471;     -0.32707;3.41526
 -7.01500; 6.39470;     -0.32464;3.41562
 -6.76500; 6.34468;     -0.32145;3.41598
 -6.51500; 6.29467;     -0.31874;3.41634
 -6.26500; 6.24466;     -0.31607;3.41670
 -6.01500; 6.19465;     -0.31328;3.41705
 -5.76500; 6.14464;     -0.31089;3.41741
 -5.51500; 6.09464;     -0.30861;3.41776
 -5.26500; 6.04466;     -0.30671;3.41811
 -5.01500; 5.99469;     -0.30530;3.41846
 -4.76500; 5.94473;     -0.30446;3.41880
 -4.51500; 5.89478;     -0.30420;3.41914
 -4.26500; 5.84484;     -0.30440;3.41949
 -4.01500; 5.79491;     -0.30467;3.41983
 -3.76500; 5.74499;     -0.30505;3.42017
 -3.51500; 5.69507;     -0.30627;3.42050
 -3.26500; 5.64516;     -0.30623;3.42084
 -3.01500; 5.59525;     -0.30704;3.42117
 -2.76500; 5.54534;     -0.30761;3.42150
 -2.51500; 5.49543;     -0.30881;3.42183
 -2.26500; 5.44553;     -0.30951;3.42216
 -2.01500; 5.39562;     -0.31011;3.42249
 -1.76500; 5.34572;     -0.31024;3.42281
 -1.51500; 5.29581;     -0.31034;3.42313
 -1.26500; 5.24589;     -0.30977;3.42345
 -1.01500; 5.19597;     -0.30875;3.42377
 -0.76500; 5.14604;     -0.30751;3.42409
 -0.51500; 5.09610;     -0.30610;3.42441
 -0.26500; 5.04614;     -0.30442;3.42472
 -0.01500; 4.99618;     -0.30268;3.42503
  0.23500; 4.94621;     -0.30060;3.42534
  0.48500; 4.89624;     -0.29881;3.42565
  0.73500; 4.84627;     -0.29697;3.42596
  0.98500; 4.79630;     -0.29562;3.42626
  1.23500; 4.74633;     -0.29452;3.42657
  1.48500; 4.69638;     -0.29341;3.42687
  1.73500; 4.64643;     -0.29235;3.42717
  1.98500; 4.59649;     -0.29190;3.42746
  2.23500; 4.54657;     -0.29093;3.42776
  2.48500; 4.49664;     -0.28983;3.42805
  2.73500; 4.44672;     -0.28923;3.42835
  2.98500; 4.39681;     -0.28832;3.42864
  3.23500; 4.34691;     -0.28757;3.42893
  3.48500; 4.29701;     -0.28680;3.42921
  3.73500; 4.24711;     -0.28617;3.42950
  3.98500; 4.19723;     -0.28532;3.42978
  4.23500; 4.14734;     -0.28476;3.43006
  4.48500; 4.09747;     -0.28433;3.43034
  4.73500; 4.04759;     -0.28383;3.43062
  4.98500; 3.99772;     -0.28340;3.43090
  5.23500; 3.94784;     -0.28258;3.43117
  5.48500; 3.89794;     -0.28156;3.43145
  5.73500; 3.84804;     -0.28124;3.43172
  5.98500; 3.79812;     -0.28098;3.43199
  6.23500; 3.74818;     -0.28026;3.43225
  6.48500; 3.69823;     -0.28009;3.43252
  6.73500; 3.64826;     -0.27966;3.43278
  6.98500; 3.59828;     -0.27878;3.43305
  7.23500; 3.54829;     -0.27883;3.43331
  7.48500; 3.49830;     -0.27837;3.43357
  7.73500; 3.44830;     -0.27774;3.43382
  7.98500; 3.39831;     -0.27721;3.43408
  8.23500; 3.34831;     -0.27660;3.43433
  8.48500; 3.29832;     -0.27579;3.43458
  8.73500; 3.24832;     -0.27492;3.43483
  8.98500; 3.19832;     -0.27433;3.43508
  9.23500; 3.14833;     -0.27361;3.43533
  9.48500; 3.09833;     -0.27286;3.43557
  9.73500; 3.04834;     -0.27222;3.43582
  9.98500; 2.99834;     -0.27109;3.43606
 10.23500; 2.94835;     -0.27088;3.43630
 10.48500; 2.89837;     -0.26991;3.43654
 10.73500; 2.84839;     -0.26943;3.43677
 10.98500; 2.79842;     -0.26829;3.43701
 11.23500; 2.74845;     -0.26758;3.43724
 11.48500; 2.69850;     -0.26669;3.43747
 11.73500; 2.64857;     -0.26620;3.43770
 11.98500; 2.59866;     -0.26608;3.43793
 12.23500; 2.54877;     -0.26538;3.43815
 12.48500; 2.49892;     -0.26435;3.43838
 12.73500; 2.44911;     -0.26423;3.43860
 12.98500; 2.39935;     -0.26384;3.43882
 13.23500; 2.34963;     -0.26322;3.43904
 13.48500; 2.29999;     -0.26293;3.43925
 13.73500; 2.25040;     -0.26287;3.43947
 13.98500; 2.20089;     -0.26220;3.43968
 14.23500; 2.15147;     -0.26225;3.43989
 14.48500; 2.10213;     -0.26209;3.44010
 14.73500; 2.05288;     -0.26228;3.44031
 14.98500; 2.00375;     -0.26228;3.44052
 15.23500; 1.95475;     -0.26188;3.44072
 15.48500; 1.90587;     -0.26254;3.44093
 15.73500; 1.85714;     -0.26303;3.44113
 15.98500; 1.80857;     -0.26363;3.44133
 16.23500; 1.76018;     -0.26363;3.44152
 16.48500; 1.71198;     -0.26453;3.44172
 16.73500; 1.66399;     -0.26492;3.44191
 16.98500; 1.61621;     -0.26541;3.44211
 17.23500; 1.56866;     -0.26632;3.44230
 17.48500; 1.52135;     -0.26737;3.44249
 17.73500; 1.47430;     -0.26797;3.44267
 17.98500; 1.42751;     -0.26857;3.44286
 18.23500; 1.38099;     -0.26967;3.44304
 18.48500; 1.33474;     -0.27031;3.44323
 18.73500; 1.28878;     -0.27089;3.44341
 18.98500; 1.24312;     -0.27132;3.44358
 19.23500; 1.19776;     -0.27140;3.44376
 19.48500; 1.15270;     -0.27162;3.44394
 19.73500; 1.10795;     -0.27136;3.44411
 19.98500; 1.06349;     -0.27066;3.44428
 20.23500; 1.01932;     -0.26973;3.44445
 20.48500; 0.97542;     -0.26720;3.44462
 20.73500; 0.93179;     -0.26467;3.44479
 20.98500; 0.88840;     -0.26143;3.44495
 21.23500; 0.84521;     -0.25664;3.44512
 21.48500; 0.80219;     -0.25110;3.44528
 21.73500; 0.75928;     -0.24437;3.44544
 21.98500; 0.71643;     -0.23549;3.44559
 22.23500; 0.67352;     -0.22492;3.44575
 22.48500; 0.63043;     -0.21225;3.44591
 22.73500; 0.58696;     -0.19693;3.44606
 22.98500; 0.54286;     -0.17874;3.44621
 23.23500; 0.49771;     -0.15629;3.44636
 23.48500; 0.45092;     -0.12975;3.44651
 23.73500; 0.40158;-9.856039e-02;3.44665
 23.98500; 0.34913;-6.253123e-02;3.44680
 24.23500; 0.29206;-2.168670e-02;3.44694
 24.48500; 0.22508; 2.175761e-02;3.44708
 24.73500; 0.15173; 5.600106e-02;3.44722
 24.98500; 0.02310; 7.082515e-02;3.44736
