Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
-30.01411;15.99750;-3.116737e-02;3.37479
-29.01411;16.20887; 9.697293e-02;3.37688
-28.01411;16.31804;      0.21692;3.37895
-27.01411;16.41463;      0.29516;3.38098
-26.01411;16.50744;      0.34626;3.38299
-25.01411;16.59873;      0.38045;3.38497
-24.01411;16.68943;      0.40367;3.38692
-23.01411;16.78005;      0.41987;3.38884
-22.01411;16.87095;      0.43155;3.39073
-21.01411;16.96234;      0.44153;3.39259
-20.01411;17.05438;      0.44862;3.39442
-19.01411;17.14716;      0.45369;3.39623
-18.01411;17.24076;      0.45823;3.39800
-17.01411;17.33519;      0.46133;3.39975
-16.01411;17.43042;      0.46343;3.40147
-15.01411;17.52639;      0.46599;3.40315
-14.01411;17.62302;      0.46840;3.40481
-13.01411;17.72025;      0.47105;3.40645
-12.01411;17.81800;      0.47513;3.40805
-11.01411;17.91620;      0.47965;3.40962
-10.01411;18.01473;      0.48536;3.41116
 -9.01411;18.11351;      0.49148;3.41268
 -8.01411;18.21248;      0.49941;3.41417
 -7.01411;18.31160;      0.50849;3.41563
 -6.01411;18.41079;      0.51957;3.41706
 -5.01411;18.51004;      0.53586;3.41846
 -4.01411;18.60935;      0.56098;3.41983
 -3.01411;18.70874;      0.59842;3.42117
 -2.01411;18.80822;      0.65009;3.42249
 -1.01411;18.90776;      0.73376;3.42377
 -0.01411;19.00732;      0.89871;3.42503
  0.98589;19.10684;      1.23152;3.42626
  1.98589;19.20634;      1.60122;3.42746
  2.98589;19.30585;      1.86092;3.42864
  3.98589;19.40539;      2.07093;3.42978
  4.98589;19.50493;      2.24187;3.43090
  5.98589;19.60444;      2.37239;3.43199
  6.98589;19.70390;      2.46479;3.43305
  7.98589;19.80335;      2.50499;3.43408
  8.98589;19.90283;      2.48600;3.43508
  9.98589;20.00233;      2.44296;3.43606
 10.98589;20.10183;      2.38841;3.43701
 11.98589;20.20133;      2.31025;3.43793
 12.98589;20.30084;      2.08664;3.43882
 13.98589;20.40037;      1.67675;3.43968
 14.98589;20.49995;      1.30940;3.44052
 15.98589;20.59961;      1.05416;3.44133
 16.98589;20.69927;      0.89051;3.44211
 17.98589;20.79893;      0.78783;3.44286
 18.98589;20.89861;      0.72330;3.44358
 19.98589;20.99827;      0.68258;3.44428
 20.98589;21.09788;      0.65681;3.44495
 21.98589;21.19746;      0.64047;3.44559
 22.98589;21.29702;      0.63100;3.44621
 23.98589;21.39658;      0.62736;3.44680
 24.98589;21.49616;      0.62567;3.44736
 25.98589;21.59577;      0.62834;3.44789
 26.98589;21.69540;      0.63825;3.44840
 27.98589;21.79504;      0.65860;3.44887
 28.98589;21.89470;      0.68636;3.44933
 29.98589;21.99439;      0.71461;3.44975
 30.98589;22.09408;      0.74011;3.45015
 31.98589;22.19373;      0.75935;3.45052
 32.98589;22.29335;      0.77517;3.45086
 33.98589;22.39299;      0.79047;3.45118
 34.98589;22.49259;      0.80387;3.45147
 35.98589;22.59216;      0.82119;3.45173
 36.98589;22.69174;      0.84434;3.45197
 37.98589;22.79136;      0.86764;3.45218
 38.98589;22.89108;      0.88347;3.45236
 39.98589;22.99088;      0.88526;3.45252
 40.98589;23.09073;      0.86206;3.45265
 41.98589;23.19060;      0.83496;3.45276
 42.98589;23.29048;      0.83332;3.45283
 43.98589;23.39033;      0.84612;3.45289
 44.98589;23.49015;      0.86201;3.45291
 45.98589;23.59000;      0.87954;3.45291
 46.98589;23.68990;      0.89563;3.45289
 47.98589;23.78988;      0.90939;3.45284
 48.98589;23.88991;      0.92521;3.45276
 49.98589;23.99000;      0.94309;3.45266
 50.98589;24.09011;      0.96727;3.45253
 51.98589;24.19024;      0.98978;3.45237
 52.98589;24.29043;      1.01370;3.45220
 53.98589;24.39068;      1.04347;3.45199
 54.98589;24.49093;      1.07461;3.45176
 55.98589;24.59113;      1.11031;3.45150
 56.98589;24.69126;      1.15123;3.45122
 57.98589;24.79138;      1.18993;3.45092
 58.98589;24.89153;      1.23086;3.45059
 59.98589;24.99174;      1.27278;3.45023
 60.98589;25.09198;      1.31659;3.44985
 61.98589;25.19226;      1.36183;3.44945
 62.98589;25.29256;      1.40659;3.44902
 63.98589;25.39285;      1.44867;3.44856
 64.98589;25.49311;      1.49389;3.44809
 65.98589;25.59331;      1.54248;3.44758
 66.98589;25.69341;      1.59539;3.44706
 67.98589;25.79342;      1.65049;3.44650
 68.98589;25.89338;      1.70955;3.44593
 69.98589;25.99332;      1.77195;3.44533
 70.98589;26.09328;      1.83682;3.44471
 71.98589;26.19324;      1.90135;3.44406
 72.98589;26.29325;      1.97020;3.44339
 73.98589;26.39335;      2.04263;3.44269
 74.98589;26.49354;      2.11878;3.44197
 75.98589;26.59381;      2.19897;3.44123
 76.98589;26.69418;      2.28172;3.44047
 77.98589;26.79461;      2.36905;3.43968
 78.98589;26.89502;      2.46009;3.43887
 79.98589;26.99535;      2.55522;3.43803
 80.98589;27.09556;      2.65411;3.43718
 81.98589;27.19561;      2.75891;3.43630
 82.98589;27.29551;      2.86911;3.43539
 83.98589;27.39528;      2.98737;3.43447
 84.98589;27.49506;      3.11036;3.43352
 85.98589;27.59489;      3.23862;3.43255
 86.98589;27.69478;      3.37537;3.43155
 87.98589;27.79474;      3.52095;3.43054
 88.98589;27.89473;      3.67653;3.42950
 89.98589;27.99473;      3.84136;3.42844
 90.98589;28.09479;      4.01866;3.42736
 91.98589;28.19491;      4.20787;3.42625
 92.98589;28.29503;      4.39963;3.42513
 93.98589;28.39513;      4.60828;3.42398
 94.98589;28.49520;      4.83353;3.42281
 95.98589;28.59526;      5.07706;3.42162
 96.98589;28.69525;      5.34212;3.42041
 97.98589;28.79516;      5.62629;3.41918
 98.98589;28.89505;      5.93130;3.41792
