Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
-30.01700;15.99750;-8.390265e-03;3.37478
-29.51700;16.13794; 4.398390e-02;3.37583
-29.01700;16.20853;      0.13149;3.37688
-28.51700;16.26599;      0.20592;3.37791
-28.01700;16.31771;      0.26669;3.37894
-27.51700;16.36673;      0.31591;3.37996
-27.01700;16.41426;      0.35665;3.38098
-26.51700;16.46092;      0.39007;3.38199
-26.01700;16.50703;      0.41778;3.38299
-25.51700;16.55278;      0.44066;3.38398
-25.01700;16.59832;      0.45958;3.38496
-24.51700;16.64373;      0.47509;3.38594
-24.01700;16.68906;      0.48797;3.38691
-23.51700;16.73440;      0.49830;3.38788
-23.01700;16.77976;      0.50720;3.38883
-22.51700;16.82520;      0.51438;3.38978
-22.01700;16.87074;      0.52041;3.39072
-21.51700;16.91640;      0.52530;3.39166
-21.01700;16.96221;      0.52950;3.39259
-20.51700;17.00818;      0.53239;3.39351
-20.01700;17.05434;      0.53491;3.39442
-19.51700;17.10068;      0.53732;3.39532
-19.01700;17.14722;      0.53892;3.39622
-18.51700;17.19395;      0.54018;3.39711
-18.01700;17.24087;      0.54119;3.39800
-17.51700;17.28799;      0.54201;3.39887
-17.01700;17.33531;      0.54238;3.39974
-16.51700;17.38283;      0.54255;3.40061
-16.01700;17.43055;      0.54256;3.40146
-15.51700;17.47846;      0.54259;3.40231
-15.01700;17.52654;      0.54151;3.40315
-14.51700;17.57478;      0.54062;3.40398
-14.01700;17.62317;      0.53926;3.40481
-13.51700;17.67171;      0.53811;3.40563
-13.01700;17.72036;      0.53625;3.40644
-12.51700;17.76914;      0.53438;3.40725
-12.01700;17.81803;      0.53160;3.40804
-11.51700;17.86704;      0.52888;3.40883
-11.01700;17.91615;      0.52619;3.40962
-10.51700;17.96536;      0.52355;3.41039
-10.01700;18.01465;      0.52167;3.41116
 -9.51700;18.06400;      0.51928;3.41192
 -9.01700;18.11341;      0.51744;3.41268
 -8.51700;18.16288;      0.51584;3.41342
 -8.01700;18.21239;      0.51420;3.41416
 -7.51700;18.26192;      0.51267;3.41490
 -7.01700;18.31148;      0.51105;3.41562
 -6.51700;18.36107;      0.50985;3.41634
 -6.01700;18.41068;      0.50932;3.41705
 -5.51700;18.46034;      0.51022;3.41776
 -5.01700;18.51002;      0.51300;3.41845
 -4.51700;18.55973;      0.51772;3.41914
 -4.01700;18.60946;      0.52354;3.41983
 -3.51700;18.65918;      0.52986;3.42050
 -3.01700;18.70891;      0.53517;3.42117
 -2.51700;18.75863;      0.53904;3.42183
 -2.01700;18.80834;      0.54069;3.42248
 -1.51700;18.85806;      0.53999;3.42313
 -1.01700;18.90778;      0.53773;3.42377
 -0.51700;18.95752;      0.53514;3.42440
 -0.01700;19.00727;      0.53261;3.42503
  0.48300;19.05702;      0.53079;3.42565
  0.98300;19.10679;      0.52959;3.42626
  1.48300;19.15654;      0.52984;3.42686
  1.98300;19.20630;      0.53102;3.42746
