wavelength,value
3718.59830,0.02225
3717.63393,0.02265
3716.66956,0.02281
3715.70520,0.02285
3714.74083,0.02297
3713.77646,0.02321
3712.81210,0.02345
3711.84773,0.02359
3710.88336,0.02369
3709.91900,0.02390
3708.95463,0.02430
3707.99026,0.02480
3707.02589,0.02527
3706.06153,0.02567
3705.09716,0.02596
3704.13279,0.02619
3703.16843,0.02646
3702.20406,0.02680
3701.23969,0.02712
3700.27533,0.02731
3699.31096,0.02743
3698.34659,0.02762
3697.38223,0.02801
3696.41786,0.02861
3695.45349,0.02933
3694.48913,0.02992
3693.52476,0.03039
3692.56039,0.03082
3691.59603,0.03129
3690.63166,0.03183
3689.66729,0.03254
3688.70293,0.03330
3687.73856,0.03402
3686.77419,0.03460
3685.80983,0.03514
3684.84546,0.03567
3683.88109,0.03630
3682.91673,0.03707
3681.95236,0.03797
3680.98799,0.03884
3680.02363,0.03961
3679.05926,0.04031
3678.09489,0.04107
3677.13052,0.04187
3676.16616,0.04267
3675.20179,0.04352
3674.23742,0.04440
3673.27306,0.04520
3672.30869,0.04587
3671.34432,0.04648
3670.37996,0.04715
3669.41559,0.04802
3668.45122,0.04909
3667.48686,0.05029
3666.52249,0.05152
3665.55812,0.05272
3664.59376,0.05391
3663.62939,0.05509
3662.66502,0.05620
3661.70066,0.05728
3660.73629,0.05840
3659.77192,0.05953
3658.80756,0.06057
3657.84319,0.06155
3656.87882,0.06262
3655.91446,0.06381
3654.95009,0.06499
3653.98572,0.06603
3653.02136,0.06695
3652.05699,0.06781
3651.09262,0.06863
3650.12826,0.06942
3649.16389,0.07023
3648.19952,0.07121
3647.23515,0.07248
3646.27079,0.07387
3645.30642,0.07513
3644.34205,0.07615
3643.37769,0.07705
3642.41332,0.07801
3641.44895,0.07908
3640.48459,0.08014
3639.52022,0.08108
3638.55585,0.08192
3637.59149,0.08277
3636.62712,0.08374
3635.66275,0.08485
3634.69839,0.08607
3633.73402,0.08726
3632.76965,0.08829
3631.80529,0.08912
3630.84092,0.08983
3629.87655,0.09056
3628.91219,0.09137
3627.94782,0.09231
3626.98345,0.09333
3626.01909,0.09435
3625.05472,0.09536
3624.09035,0.09632
3623.12599,0.09724
3622.16162,0.09807
3621.19725,0.09869
3620.23288,0.09915
3619.26852,0.09969
3618.30415,0.10050
3617.33978,0.10160
3616.37542,0.10276
3615.41105,0.10373
3614.44668,0.10455
3613.48232,0.10543
3612.51795,0.10645
3611.55358,0.10751
3610.58922,0.10851
3609.62485,0.10940
3608.66048,0.11025
3607.69612,0.11119
3606.73175,0.11227
3605.76738,0.11333
3604.80302,0.11423
3603.83865,0.11494
3602.87428,0.11562
