wavelength,value
3718.59830,0.00521
3717.63393,0.00535
3716.66956,0.00554
3715.70520,0.00571
3714.74083,0.00582
3713.77646,0.00590
3712.81210,0.00593
3711.84773,0.00587
3710.88336,0.00574
3709.91900,0.00570
3708.95463,0.00591
3707.99026,0.00625
3707.02589,0.00648
3706.06153,0.00657
3705.09716,0.00655
3704.13279,0.00654
3703.16843,0.00654
3702.20406,0.00662
3701.23969,0.00675
3700.27533,0.00691
3699.31096,0.00713
3698.34659,0.00743
3697.38223,0.00777
3696.41786,0.00795
3695.45349,0.00802
3694.48913,0.00792
3693.52476,0.00792
3692.56039,0.00805
3691.59603,0.00834
3690.63166,0.00849
3689.66729,0.00853
3688.70293,0.00848
3687.73856,0.00860
3686.77419,0.00885
3685.80983,0.00923
3684.84546,0.00950
3683.88109,0.00959
3682.91673,0.00947
3681.95236,0.00934
3680.98799,0.00935
3680.02363,0.00954
3679.05926,0.00979
3678.09489,0.01011
3677.13052,0.01052
3676.16616,0.01095
3675.20179,0.01122
3674.23742,0.01131
3673.27306,0.01141
3672.30869,0.01164
3671.34432,0.01198
3670.37996,0.01229
3669.41559,0.01252
3668.45122,0.01262
3667.48686,0.01265
3666.52249,0.01271
3665.55812,0.01291
3664.59376,0.01325
3663.62939,0.01366
3662.66502,0.01405
3661.70066,0.01435
3660.73629,0.01450
3659.77192,0.01449
3658.80756,0.01449
3657.84319,0.01467
3656.87882,0.01511
3655.91446,0.01570
3654.95009,0.01624
3653.98572,0.01659
3653.02136,0.01677
3652.05699,0.01681
3651.09262,0.01679
3650.12826,0.01678
3649.16389,0.01694
3648.19952,0.01734
3647.23515,0.01796
3646.27079,0.01861
3645.30642,0.01909
3644.34205,0.01932
3643.37769,0.01944
3642.41332,0.01961
3641.44895,0.01988
3640.48459,0.02018
3639.52022,0.02045
3638.55585,0.02063
3637.59149,0.02066
3636.62712,0.02061
3635.66275,0.02064
3634.69839,0.02090
3633.73402,0.02136
3632.76965,0.02188
3631.80529,0.02220
3630.84092,0.02225
3629.87655,0.02218
3628.91219,0.02221
3627.94782,0.02251
3626.98345,0.02300
3626.01909,0.02350
3625.05472,0.02391
3624.09035,0.02419
3623.12599,0.02437
3622.16162,0.02453
3621.19725,0.02466
3620.23288,0.02481
3619.26852,0.02505
3618.30415,0.02537
3617.33978,0.02571
3616.37542,0.02601
3615.41105,0.02625
3614.44668,0.02651
3613.48232,0.02686
3612.51795,0.02726
3611.55358,0.02758
3610.58922,0.02770
3609.62485,0.02756
3608.66048,0.02731
3607.69612,0.02723
3606.73175,0.02743
3605.76738,0.02787
3604.80302,0.02834
3603.83865,0.02871
3602.87428,0.02892
3601.90992,0.02913
3600.94555,0.02939
3599.98118,0.02965
3599.01682,0.02985
3598.05245,0.03001
3597.08808,0.03037
3596.12372,0.03086
3595.15935,0.03126
3594.19498,0.03133
3593.23062,0.03127
3592.26625,0.03126
3591.30188,0.03134
3590.33751,0.03136
3589.37315,0.03140
3588.40878,0.03154
3587.44441,0.03184
3586.48005,0.03235
3585.51568,0.03301
3584.55131,0.03372
3583.58695,0.03429
3582.62258,0.03462
3581.65821,0.03476
3580.69385,0.03484
3579.72948,0.03488
3578.76511,0.03489
3577.80075,0.03486
3576.83638,0.03497
3575.87201,0.03531
3574.90765,0.03566
3573.94328,0.03586
3572.97891,0.03599
3572.01455,0.03625
3571.05018,0.03663
3570.08581,0.03711
3569.12145,0.03748
3568.15708,0.03758
3567.19271,0.03751
3566.22835,0.03770
3565.26398,0.03832
3564.29961,0.03906
3563.33524,0.03960
3562.37088,0.03990
3561.40651,0.04006
3560.44214,0.04019
3559.47778,0.04034
3558.51341,0.04057
3557.54904,0.04089
3556.58468,0.04117
3555.62031,0.04126
3554.65594,0.04128
3553.69158,0.04148
3552.72721,0.04185
3551.76284,0.04218
3550.79848,0.04244
3549.83411,0.04282
3548.86974,0.04329
3547.90538,0.04362
3546.94101,0.04376
3545.97664,0.04387
3545.01228,0.04411
3544.04791,0.04442
3543.08354,0.04461
3542.11918,0.04466
3541.15481,0.04477
3540.19044,0.04494
3539.22608,0.04512
3538.26171,0.04540
3537.29734,0.04586
3536.33298,0.04628
3535.36861,0.04646
3534.40424,0.04652
3533.43987,0.04667
3532.47551,0.04690
3531.51114,0.04703
3530.54677,0.04712
3529.58241,0.04737
3528.61804,0.04774
3527.65367,0.04801
3526.68931,0.04818
3525.72494,0.04841
3524.76057,0.04877
3523.79621,0.04925
3522.83184,0.04971
3521.86747,0.04998
3520.90311,0.05007
3519.93874,0.05010
3518.97437,0.05022
3518.01001,0.05052
3517.04564,0.05101
3516.08127,0.05139
3515.11691,0.05139
3514.15254,0.05120
3513.18817,0.05125
3512.22381,0.05158
3511.25944,0.05196
3510.29507,0.05227
3509.33071,0.05252
3508.36634,0.05269
3507.40197,0.05287
3506.43761,0.05319
3505.47324,0.05361
3504.50887,0.05398
3503.54450,0.05429
3502.58014,0.05445
3501.61577,0.05443
3500.65140,0.05445
3499.68704,0.05468
3498.72267,0.05495
3497.75830,0.05509
3496.79394,0.05521
3495.82957,0.05545
3494.86520,0.05583
3493.90084,0.05630
3492.93647,0.05670
3491.97210,0.05695
3491.00774,0.05716
3490.04337,0.05744
3489.07900,0.05767
3488.11464,0.05775
3487.15027,0.05778
3486.18590,0.05796
3485.22154,0.05838
3484.25717,0.05897
3483.29280,0.05944
3482.32844,0.05957
3481.36407,0.05944
3480.39970,0.05928
3479.43534,0.05935
3478.47097,0.05974
3477.50660,0.06016
3476.54223,0.06039
3475.57787,0.06048
3474.61350,0.06049
3473.64913,0.06048
3472.68477,0.06053
3471.72040,0.06071
3470.75603,0.06095
3469.79167,0.06111
3468.82730,0.06111
3467.86293,0.06106
3466.89857,0.06118
3465.93420,0.06153
3464.96983,0.06190
3464.00547,0.06206
3463.04110,0.06203
3462.07673,0.06191
3461.11237,0.06181
3460.14800,0.06191
3459.18363,0.06225
3458.21927,0.06266
3457.25490,0.06286
3456.29053,0.06277
3455.32617,0.06260
3454.36180,0.06268
3453.39743,0.06301
3452.43307,0.06333
3451.46870,0.06341
3450.50433,0.06336
3449.53997,0.06328
3448.57560,0.06313
3447.61123,0.06299
3446.64686,0.06294
3445.68250,0.06301
3444.71813,0.06323
3443.75376,0.06341
3442.78940,0.06343
3441.82503,0.06329
3440.86066,0.06303
3439.89630,0.06276
3438.93193,0.06275
3437.96756,0.06310
3437.00320,0.06363
3436.03883,0.06412
3435.07446,0.06436
3434.11010,0.06424
3433.14573,0.06391
3432.18136,0.06376
3431.21700,0.06391
3430.25263,0.06416
3429.28826,0.06435
3428.32390,0.06438
3427.35953,0.06430
3426.39516,0.06425
3425.43080,0.06434
3424.46643,0.06455
3423.50206,0.06474
3422.53770,0.06479
3421.57333,0.06480
3420.60896,0.06481
3419.64460,0.06476
3418.68023,0.06470
3417.71586,0.06471
3416.75149,0.06479
3415.78713,0.06499
3414.82276,0.06523
3413.85839,0.06533
3412.89403,0.06517
3411.92966,0.06489
3410.96529,0.06477
3410.00093,0.06478
3409.03656,0.06480
3408.07219,0.06486
3407.10783,0.06499
3406.14346,0.06512
3405.17909,0.06528
3404.21473,0.06538
3403.25036,0.06533
3402.28599,0.06513
3401.32163,0.06494
3400.35726,0.06493
3399.39289,0.06505
3398.42853,0.06510
3397.46416,0.06522
3396.49979,0.06536
3395.53543,0.06524
3394.57106,0.06496
3393.60669,0.06484
3392.64233,0.06488
3391.67796,0.06492
3390.71359,0.06489
3389.74922,0.06487
3388.78486,0.06493
3387.82049,0.06501
3386.85612,0.06508
3385.89176,0.06503
3384.92739,0.06476
3383.96302,0.06444
3382.99866,0.06431
3382.03429,0.06437
3381.06992,0.06445
3380.10556,0.06447
3379.14119,0.06451
3378.17682,0.06458
3377.21246,0.06453
3376.24809,0.06440
3375.28372,0.06432
3374.31936,0.06423
3373.35499,0.06409
3372.39062,0.06401
3371.42626,0.06400
3370.46189,0.06393
3369.49752,0.06380
3368.53316,0.06375
3367.56879,0.06382
3366.60442,0.06377
3365.64006,0.06346
3364.67569,0.06320
3363.71132,0.06319
3362.74696,0.06326
3361.78259,0.06325
3360.81822,0.06315
3359.85385,0.06293
3358.88949,0.06263
3357.92512,0.06233
3356.96075,0.06218
3355.99639,0.06220
3355.03202,0.06219
3354.06765,0.06208
3353.10329,0.06198
3352.13892,0.06195
3351.17455,0.06202
3350.21019,0.06210
3349.24582,0.06203
3348.28145,0.06178
3347.31709,0.06152
3346.35272,0.06139
3345.38835,0.06127
3344.42399,0.06109
3343.45962,0.06094
3342.49525,0.06086
3341.53089,0.06070
3340.56652,0.06049
3339.60215,0.06041
3338.63779,0.06044
3337.67342,0.06037
3336.70905,0.06010
3335.74469,0.05983
3334.78032,0.05982
3333.81595,0.05997
3332.85159,0.06000
3331.88722,0.05992
3330.92285,0.05990
3329.95848,0.05993
3328.99412,0.05988
3328.02975,0.05968
3327.06538,0.05942
3326.10102,0.05921
3325.13665,0.05902
3324.17228,0.05881
3323.20792,0.05863
3322.24355,0.05848
3321.27918,0.05840
3320.31482,0.05845
3319.35045,0.05858
3318.38608,0.05855
3317.42172,0.05827
3316.45735,0.05802
3315.49298,0.05796
3314.52862,0.05792
3313.56425,0.05778
3312.59988,0.05761
3311.63552,0.05748
3310.67115,0.05744
3309.70678,0.05748
3308.74242,0.05746
3307.77805,0.05734
3306.81368,0.05727
3305.84932,0.05718
3304.88495,0.05695
3303.92058,0.05678
3302.95621,0.05681
3301.99185,0.05693
3301.02748,0.05690
3300.06311,0.05668
3299.09875,0.05648
3298.13438,0.05628
3297.17001,0.05589
3296.20565,0.05554
3295.24128,0.05548
3294.27691,0.05565
3293.31255,0.05576
3292.34818,0.05560
3291.38381,0.05530
3290.41945,0.05517
3289.45508,0.05527
3288.49071,0.05537
3287.52635,0.05526
3286.56198,0.05500
3285.59761,0.05480
3284.63325,0.05466
3283.66888,0.05449
3282.70451,0.05437
3281.74015,0.05434
3280.77578,0.05438
3279.81141,0.05446
3278.84705,0.05447
3277.88268,0.05426
3276.91831,0.05396
3275.95395,0.05379
3274.98958,0.05374
3274.02521,0.05365
3273.06084,0.05346
3272.09648,0.05331
3271.13211,0.05323
3270.16774,0.05312
3269.20338,0.05298
3268.23901,0.05286
3267.27464,0.05280
3266.31028,0.05273
3265.34591,0.05245
3264.38154,0.05206
3263.41718,0.05190
3262.45281,0.05193
3261.48844,0.05186
3260.52408,0.05162
3259.55971,0.05128
3258.59534,0.05094
3257.63098,0.05075
3256.66661,0.05076
3255.70224,0.05081
3254.73788,0.05080
3253.77351,0.05080
3252.80914,0.05077
3251.84478,0.05060
3250.88041,0.05034
3249.91604,0.05011
3248.95168,0.04995
3247.98731,0.04984
3247.02294,0.04981
3246.05858,0.04982
3245.09421,0.04968
3244.12984,0.04935
3243.16547,0.04902
3242.20111,0.04878
3241.23674,0.04868
3240.27237,0.04881
3239.30801,0.04890
3238.34364,0.04863
3237.37927,0.04825
3236.41491,0.04808
3235.45054,0.04807
3234.48617,0.04809
3233.52181,0.04806
3232.55744,0.04788
3231.59307,0.04766
3230.62871,0.04753
3229.66434,0.04726
3228.69997,0.04685
3227.73561,0.04657
3226.77124,0.04652
3225.80687,0.04651
3224.84251,0.04625
3223.87814,0.04582
3222.91377,0.04553
3221.94941,0.04548
3220.98504,0.04545
3220.02067,0.04524
3219.05631,0.04486
3218.09194,0.04448
3217.12757,0.04429
3216.16320,0.04426
3215.19884,0.04427
3214.23447,0.04414
3213.27010,0.04385
3212.30574,0.04350
3211.34137,0.04319
3210.37700,0.04303
3209.41264,0.04303
3208.44827,0.04293
3207.48390,0.04259
3206.51954,0.04220
3205.55517,0.04192
3204.59080,0.04166
3203.62644,0.04134
3202.66207,0.04115
3201.69770,0.04119
3200.73334,0.04131
3199.76897,0.04126
3198.80460,0.04085
3197.84024,0.04025
3196.87587,0.03991
3195.91150,0.03991
3194.94714,0.03991
3193.98277,0.03981
3193.01840,0.03958
3192.05404,0.03927
3191.08967,0.03905
3190.12530,0.03886
3189.16094,0.03857
3188.19657,0.03824
3187.23220,0.03797
3186.26783,0.03774
3185.30347,0.03755
3184.33910,0.03745
3183.37473,0.03754
3182.41037,0.03760
3181.44600,0.03736
3180.48163,0.03696
3179.51727,0.03663
3178.55290,0.03638
3177.58853,0.03615
3176.62417,0.03590
3175.65980,0.03562
3174.69543,0.03540
3173.73107,0.03526
3172.76670,0.03513
3171.80233,0.03499
3170.83797,0.03477
3169.87360,0.03436
3168.90923,0.03391
3167.94487,0.03366
3166.98050,0.03358
3166.01613,0.03347
3165.05177,0.03320
3164.08740,0.03285
3163.12303,0.03262
3162.15867,0.03256
3161.19430,0.03243
3160.22993,0.03216
3159.26556,0.03190
3158.30120,0.03168
3157.33683,0.03138
3156.37246,0.03115
3155.40810,0.03106
3154.44373,0.03087
3153.47936,0.03054
3152.51500,0.03021
3151.55063,0.02998
3150.58626,0.02981
3149.62190,0.02960
3148.65753,0.02936
3147.69316,0.02918
3146.72880,0.02904
3145.76443,0.02883
3144.80006,0.02856
3143.83570,0.02836
3142.87133,0.02827
3141.90696,0.02821
3140.94260,0.02815
3139.97823,0.02807
3139.01386,0.02790
3138.04950,0.02751
3137.08513,0.02703
3136.12076,0.02669
3135.15640,0.02666
3134.19203,0.02677
3133.22766,0.02673
3132.26330,0.02647
3131.29893,0.02623
3130.33456,0.02608
3129.37019,0.02593
3128.40583,0.02575
3127.44146,0.02562
3126.47709,0.02544
3125.51273,0.02517
3124.54836,0.02490
3123.58399,0.02473
3122.61963,0.02455
3121.65526,0.02427
3120.69089,0.02403
3119.72653,0.02396
3118.76216,0.02404
3117.79779,0.02406
3116.83343,0.02388
3115.86906,0.02357
3114.90469,0.02327
3113.94033,0.02308
3112.97596,0.02305
3112.01159,0.02319
3111.04723,0.02330
3110.08286,0.02320
3109.11849,0.02292
3108.15413,0.02269
3107.18976,0.02253
3106.22539,0.02236
3105.26103,0.02219
3104.29666,0.02211
3103.33229,0.02202
3102.36793,0.02192
3101.40356,0.02184
3100.43919,0.02169
3099.47482,0.02147
3098.51046,0.02125
3097.54609,0.02104
3096.58172,0.02092
3095.61736,0.02092
3094.65299,0.02101
3093.68862,0.02103
3092.72426,0.02094
3091.75989,0.02079
3090.79552,0.02065
