,Material,"Diameter, (nm)",Zeta potential (mV),"Concentration, (g/L)",Viability (%),"Time, (h)","Molecular weight, (g/mol)",Average electronegativity,Elements,"Average ionic radius, Å"
807,SiO2,29.5,-35.9,6.979248689162231e-06,12.972973,4.0, ,2.9266666666666663,Si, 
808,C9H15N3O6,3.6,-27.0,2.612319e-07,63.346615,10.0,261.2319,2.597272727272728,C,0.3
809,SiO2,100.33,-35.9,0.5,64.477,24.0, ,2.9266666666666663,Si, 
810,ZnO,20.0,-26.0,0.8140839999999999,12.875537,24.0,81.4084,2.545,Zn,0.88
811,NiO,22.0,25.3,0.01,53.017,24.0,74.69279999999999, ,Ni,0.74
812,SiO2,100.33,-35.9,0.01,89.826,24.0, ,2.9266666666666663,Si, 
813,Au,25.0,24.4,2.069265452158231e-07,62.41379,48.0,196.966569,2.54,Au, 
814,ZnO,100.0,-26.0,0.03,68.577,6.0,81.4084,2.545,Zn,0.88
815,Au,60.0,24.4,0.0008,56.845,24.0,196.966569,2.54,Au, 
816,CuO,239.0,-39.67,2.9284839160272786e-11,5.736289999999997,24.0,79.5454,2.67,Cu,0.82
817,CuO,28.0,-39.67,0.2,48.952,48.0,79.5454,2.67,Cu,0.82
818,Fe3O4,326.5,-23.5,2.0130387938220988e-10,88.08567,48.0,231.5326,2.75,Fe,0.8525
819,ZnO,165.0,-26.0,2.0489688506701408e-10,6.506024,48.0,81.4084,2.545,Zn,0.88
820,Au,30.0,24.4,0.001,96.701,48.0,196.966569,2.54,Au, 
821,TiO2,50.0,-17.6,0.0008,96.91,6.0,79.8658,2.806666666666666,Ti,0.8516666666666667
822,Au,18.0,24.4,0.0025,80.025,24.0,196.966569,2.54,Au, 
823,NiO,21.6,25.3,0.05,59.518,24.0,74.69279999999999, ,Ni,0.74
824,SiO2,12.0,-35.9,0.2,26.061,24.0, ,2.9266666666666663,Si, 
825,SiO2,21.06,-35.9,0.1,55.172,72.0, ,2.9266666666666663,Si, 
826,ZnO,273.4,-11.7,0.08,-3.8739, ,81.38,1.65,Zn,74.0
827,ZnO,639.0,-26.0,1.763821445214678e-13,97.75281,24.0,81.4084,2.545,Zn,0.88
828,ZnO,94.5,-26.0,0.05,29.487,24.0,81.4084,2.545,Zn,0.88
829,C56H103N9O39,122.0,26.5,7.881884480451593e-06,50.0,4.0,1526.45392,2.564830917874396,C,0.3
830,TiO2,124.9,-17.6,2.458521360223581e-13,97.85714,48.0,79.8658,2.806666666666666,Ti,0.8516666666666667
831,Cu2O,88.5,118.7302016664654,3.760076999485918e-09,103.354034,3.0,143.0914,2.4133333333333336,Cu,0.82
832,SiO2,21.06,-35.9,0.1,55.172,72.0, ,2.9266666666666663,Si, 
833,Fe3O4,361.4,12.1,3.710883029594856e-11,50.56818,168.0,231.5326,2.75,Fe,0.8525
834,Pt,13.5,-8.0,2.93078455103354e-07,99.79081,24.0, , ,Pt,0.805
835,TiO2,420.7,-9.96,6.433447554951843e-11,120.27379,3.0,79.8658,2.806666666666666,Ti,0.8516666666666667
836,CeO2,12.5,20.020605822958544,0.025,95.414,24.0,172.1148,2.6666666666666665,Ce,1.08
837,Ag,28.41,-33.33,2.133272508026393e-07,13.016949,24.0,107.8682,1.93,Ag,1.086666666666667
838,Al2O3,239.0,8.667160493827168,5.996465006486421e-12,37.112904,12.0,101.9612772, ,Al,0.675
839,TiO2,15.84,-17.6,0.03,25.4,48.0,79.8658,2.806666666666666,Ti,0.8516666666666667
840,SiO2,60.0,-30.0,1.5021075e-07,101.3927277,96.0, ,2.9266666666666663,Si, 
841,Fe3O4,42.5,49.25722173011928,0.02,96.711,12.0,231.5326,2.75,Fe,0.8525
842,SiO2,14.0,-35.9,3.930729146901029e-07,107.182915,24.0, ,2.9266666666666663,Si, 
843,ZnO,60.0,-26.0,1.574917970775073e-11,80.81022,4.0,81.4084,2.545,Zn,0.88
844,SiO2,369.0,79.0,1.07336673543553e-10,59.47644,24.0, ,2.9266666666666663,Si, 
845,TiO2,6.0,-17.6,0.025,92.047,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
846,ZnO,45.3,-26.0,0.001,98.355,12.0,81.4084,2.545,Zn,0.88
847,ZnO,165.0,-26.0,2.0489688506701408e-10,34.67651,48.0,81.4084,2.545,Zn,0.88
848,Fe3O4,326.5,-23.5,4.0260775876441976e-12,87.291214,24.0,231.5326,2.75,Fe,0.8525
849,Fe3O4,361.4,12.1,9.27720757398714e-12,75.568184,120.0,231.5326,2.75,Fe,0.8525
850,ZnO,100.0,-26.0,0.025,72.53,6.0,81.4084,2.545,Zn,0.88
851,Ag,28.41,-33.33,8.533090032105572e-08,50.833332,24.0,107.8682,1.93,Ag,1.086666666666667
852,TiO2,38.0,-17.6,1.091240621311237e-07,88.36364,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
853,Ag,28.41,-33.33,1.422181672017595e-06,23.25733,48.0,107.8682,1.93,Ag,1.086666666666667
854,SiO2,59.72,-35.9,0.1,49.886,72.0, ,2.9266666666666663,Si, 
855,TiO2,81.8,-17.6,0.1,11.51,48.0,79.8658,2.806666666666666,Ti,0.8516666666666667
856,SiO2,100.33,-35.9,0.05,58.161,72.0, ,2.9266666666666663,Si, 
857,Ag,28.41,-33.33,2.84436334403519e-08,15.833333,72.0,107.8682,1.93,Ag,1.086666666666667
858,TiO2,60.0,-17.6,0.05,44.9,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
859,Fe3O4,145.8,17.7,2.8257851745178776e-10,65.93220500000001,24.0,231.5326,2.75,Fe,0.8525
860,CuO,10.0,-39.67,0.025,84.768,24.0,79.5454,2.67,Cu,0.82
861,Fe3O4,957.0,49.25722173011928,1.59880642016515e-15,99.20229125,12.0,231.5326,2.75,Fe,0.8525
862,ZnO,30.0,-26.0,0.05,59.971,24.0,81.4084,2.545,Zn,0.88
863,TiO2,38.0,-17.6,1.0912406213112371e-09,99.818184,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
864,Fe3O4,361.4,12.1,9.27720757398714e-12,97.551163,24.0,231.5326,2.75,Fe,0.8525
865,SiO2,30.0,-35.9,0.01,91.59,24.0, ,2.9266666666666663,Si, 
866,TiO2,24.59,-17.6,0.1,11.425,48.0,79.8658,2.806666666666666,Ti,0.8516666666666667
867,Pt,13.5,-40.5,1.172313820413416e-06,69.75,24.0, , ,Pt,0.805
868,CuO,52.51,-39.67,6.9032006960479404e-09,68.67281,24.0,79.5454,2.67,Cu,0.82
869,ZnO,165.0,-26.0,8.195875402680565e-13,88.19277,24.0,81.4084,2.545,Zn,0.88
870,SiO2,437.0,21.7,2.154079188530087e-10,74.347824,12.0, ,2.9266666666666663,Si, 
871,CuO,23.0,-39.67,0.015,31.441,24.0,79.5454,2.67,Cu,0.82
872,SiO2,100.33,-35.9,0.2,65.757,24.0, ,2.9266666666666663,Si, 
873,SiO2,96.0,-11.0,3.250964740998874e-09,96.585365,24.0, ,2.9266666666666663,Si, 
874,CeO2,20.3,20.020605822958544,6.823536040955313e-06,97.53237,24.0,172.1148,2.6666666666666665,Ce,1.08
875,CuO,52.51,-39.67,0.05,48.0,24.0,79.5454,2.67,Cu,0.82
876,Fe3O4,957.0,49.25722173011928,1.59880642016515e-15,99.20229125,12.0,231.5326,2.75,Fe,0.8525
877,Ag,36.4,-23.1,9.137188863135807e-10,85.84981,48.0,107.8682,1.93,Ag,1.086666666666667
878,SiO2,10.0,-35.9,0.1,22.294,24.0, ,2.9266666666666663,Si, 
879,ZnO,165.0,-26.0,8.19587540268056e-14,99.75903,24.0,81.4084,2.545,Zn,0.88
880,Ag,36.4,-23.1,3.648107257207556e-09,77.49469,24.0,107.8682,1.93,Ag,1.086666666666667
881,TiO2,11.69,-17.6,8.948931026692626e-08,99.10313904,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
882,Fe3O4,28.33,49.25722173011928,0.01,48.87,48.0,231.5326,2.75,Fe,0.8525
883,Fe3O4,361.4,12.1,1.855441514797428e-11,93.995932,1.0,231.5326,2.75,Fe,0.8525
884,C56H103N9O39,155.0,28.8,3.957485008076805e-06,50.0,4.0,1526.45392,2.564830917874396,C,0.3
885,Fe3O4,145.8,17.7,5.651570349035752e-10,46.02516,168.0,231.5326,2.75,Fe,0.8525
886,TiO2,420.7,-9.96,4.825085666213883e-11,106.34462,6.0,79.8658,2.806666666666666,Ti,0.8516666666666667
887,CuO,239.0,-39.67,1.46424195801364e-10,13.483146,24.0,79.5454,2.67,Cu,0.82
888,Cu2O,88.5,118.7302016664654,3.760076890371208e-11,95.403725,24.0,143.0914,2.4133333333333336,Cu,0.82
889,Ag,36.4,-23.1,3.648107257207556e-09,84.273,48.0,107.8682,1.93,Ag,1.086666666666667
890,SiO2,59.72,-35.9,0.2,31.435,72.0, ,2.9266666666666663,Si, 
891,TiO2,47.83,-17.6,5.226049789310685e-09,94.618834,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
892,Au,215.0,24.4,0.0025,44.329,24.0,196.966569,2.54,Au, 
893,Ag,28.41,-33.33,1.422181672017595e-07,17.021276,72.0,107.8682,1.93,Ag,1.086666666666667
894,CeO2,25.0,20.020605822958544,0.025,102.01,24.0,172.1148,2.6666666666666665,Ce,1.08
895,TiO2,47.83,-17.6,1.0452099578621372e-08,100.0,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
896,TiO2,25.0,-17.6,0.001,100.97,6.0,79.8658,2.806666666666666,Ti,0.8516666666666667
