,Material,"Diameter, (nm)",Zeta potential (mV),"Concentration, (g/L)",Viability (%),"Time, (h)","Molecular weight, (g/mol)",Average electronegativity,Elements,"Average ionic radius, Å"
1013,C56H103N9O39,159.0,30.5,2.617778481484291e-06,80.0,4.0,1526.45392,2.564830917874396,C,0.3
1014,CuO,55.8,-39.67,0.01,86.01,24.0,79.5454,2.67,Cu,0.82
1015,Au,270.0,24.4,0.005,93.162,48.0,196.966569,2.54,Au, 
1016,C9H15N3O6,3.6,-27.0,2.612319e-07,54.281517,7.0,261.2319,2.597272727272728,C,0.3
1017,ZnO,100.0,-26.0,0.035,9.6838,24.0,81.4084,2.545,Zn,0.88
1018,TiO2,124.9,-17.6,2.458521360223581e-11,88.25397,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
1019,TiO2,50.0,-17.6,8e-05,99.344,6.0,79.8658,2.806666666666666,Ti,0.8516666666666667
1020,ZnO,100.0,-26.0,0.015,100.44,48.0,81.4084,2.545,Zn,0.88
1021,C56H103N9O39,360.0,47.0,1.037592995676194e-07,78.034935,24.0,1526.45392,2.564830917874396,C,0.3
1022,MgO,639.0,-7.01,6.84207292430696e-13,32.56693,24.0,40.3044,2.375,Mg, 
1023,TiO2,38.0,-17.6,1.091240621311237e-07,98.181816,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
