wl val
190.000000 133782.542302
195.000000 117619.480841
200.000000 105789.055596
205.000000 94309.647477
210.000000 59144.992033
215.000000 24511.035381
220.000000 9549.854827
225.000000 4340.673764
230.000000 2088.823722
235.000000 1254.298912
240.000000 1233.438631
245.000000 1187.078762
250.000000 1070.060743
255.000000 1016.295039
260.000000 738.396588
265.000000 584.689817
270.000000 448.408667
275.000000 311.258761
280.000000 239.138181
285.000000 204.341015
290.000000 199.583875
295.000000 186.466313
300.000000 201.139326
305.000000 270.369450
310.000000 304.862274
315.000000 346.235505
320.000000 420.065095
325.000000 448.568860
330.000000 457.172340
335.000000 477.089748
340.000000 464.092000
345.000000 424.497825
350.000000 438.966092
355.000000 490.666726
360.000000 495.357310
365.000000 433.878279
370.000000 413.865412
375.000000 430.461514
380.000000 403.305617
385.000000 388.128302
390.000000 382.141893
395.000000 362.054075
400.000000 352.769070
405.000000 328.677588
410.000000 281.323835
415.000000 244.621544
420.000000 248.596695
425.000000 258.058405
430.000000 232.720398
435.000000 246.372032
440.000000 311.736783
445.000000 360.257886
450.000000 440.599836
455.000000 639.197631
460.000000 699.164026
465.000000 626.973012
470.000000 571.022190
475.000000 537.569107
480.000000 568.196780
485.000000 733.373181
490.000000 855.253075
495.000000 837.305129
500.000000 914.380039
505.000000 930.377601
510.000000 965.124617
515.000000 1059.639270
520.000000 1056.259972
525.000000 1074.603163
530.000000 1155.589943
535.000000 1277.527422
540.000000 1412.133597
545.000000 1669.249292
550.000000 1750.035045
555.000000 1935.524648
560.000000 2103.047385
565.000000 1928.510496
570.000000 2346.656552
575.000000 2832.757064
580.000000 3022.182409
585.000000 2968.903458
590.000000 2496.226558
595.000000 2342.177235
600.000000 2809.380273
605.000000 3639.158064
610.000000 3902.004636
615.000000 3633.735836
620.000000 3446.707619
625.000000 3510.544089
630.000000 4321.372086
635.000000 5026.284131
640.000000 4679.933332
645.000000 4266.110851
650.000000 5225.364817
655.000000 5804.685146
660.000000 5698.344801
665.000000 5746.119648
670.000000 5875.717031
675.000000 6034.534575
680.000000 6062.627313
685.000000 5857.423555
690.000000 5754.981982
695.000000 6675.660778
700.000000 6433.420417
705.000000 5079.584011
710.000000 4068.955134
715.000000 3154.846818
720.000000 2744.943521
725.000000 2998.759774
730.000000 3895.265913
735.000000 5209.693829
740.000000 6529.301866
745.000000 7941.315940
750.000000 7695.664936
755.000000 9521.079308
760.000000 14379.727048
765.000000 18129.789966
770.000000 20353.334274
775.000000 20794.609797
780.000000 20905.711313
785.000000 20388.126976
790.000000 20461.800350
795.000000 22888.751384
800.000000 24611.820789
805.000000 21853.742353
810.000000 16485.536697
815.000000 12393.645017
820.000000 10351.976637
