wl val
190.000000 -0.477121
195.000000 -0.401336
200.000000 -0.012171
205.000000 0.781096
210.000000 1.420083
215.000000 1.925601
220.000000 2.411836
225.000000 2.867049
230.000000 3.247339
235.000000 3.453814
240.000000 3.321794
245.000000 3.265721
250.000000 3.318413
255.000000 3.337201
260.000000 3.417515
265.000000 3.531937
270.000000 3.673632
275.000000 2.716619
280.000000 2.020380
285.000000 1.562898
290.000000 1.215566
295.000000 0.941560
300.000000 0.719812
305.000000 0.543734
310.000000 0.415110
315.000000 0.324915
320.000000 0.261078
325.000000 0.215254
330.000000 0.181389
335.000000 0.153955
340.000000 0.129490
345.000000 0.107959
350.000000 0.091616
355.000000 0.081083
360.000000 0.074201
365.000000 0.069875
370.000000 0.067518
375.000000 0.066273
380.000000 0.066021
385.000000 0.066383
390.000000 0.066324
395.000000 0.065793
400.000000 0.065723
405.000000 0.065778
410.000000 0.065885
415.000000 0.067194
420.000000 0.069981
425.000000 0.074987
430.000000 0.082289
435.000000 0.091637
440.000000 0.103344
445.000000 0.119409
450.000000 0.142917
455.000000 0.177064
460.000000 0.221420
465.000000 0.269661
470.000000 0.312486
475.000000 0.350643
480.000000 0.398897
485.000000 0.467380
490.000000 0.559357
495.000000 0.667021
500.000000 0.760530
505.000000 0.781545
510.000000 0.687326
515.000000 0.511221
520.000000 0.335305
525.000000 0.205145
530.000000 0.123748
535.000000 0.079348
540.000000 0.057193
545.000000 0.047528
550.000000 0.044048
555.000000 0.043419
560.000000 0.045851
565.000000 0.050621
570.000000 0.056521
575.000000 0.062808
580.000000 0.070378
585.000000 0.079920
590.000000 0.089910
595.000000 0.100737
600.000000 0.114087
605.000000 0.129295
610.000000 0.146061
615.000000 0.166230
620.000000 0.188040
625.000000 0.210768
630.000000 0.236105
635.000000 0.261779
640.000000 0.290047
645.000000 0.320955
650.000000 0.353132
655.000000 0.388723
660.000000 0.427807
665.000000 0.468240
670.000000 0.510180
675.000000 0.553728
680.000000 0.599613
685.000000 0.638754
690.000000 0.672580
695.000000 0.713561
700.000000 0.758004
705.000000 0.804009
710.000000 0.847272
715.000000 0.886775
720.000000 0.924565
725.000000 0.960672
730.000000 0.990709
735.000000 1.017417
740.000000 1.040884
745.000000 1.065952
750.000000 1.093735
755.000000 1.116171
760.000000 1.142382
765.000000 1.197950
770.000000 1.254260
775.000000 1.285537
780.000000 1.320905
785.000000 1.341529
790.000000 1.347176
795.000000 1.374647
800.000000 1.387400
805.000000 1.327661
810.000000 1.269220
815.000000 1.289074
820.000000 1.290110
825.000000 1.275945
830.000000 1.313321
835.000000 1.342626
840.000000 1.356126
845.000000 1.351553
850.000000 1.322611
855.000000 1.262844
860.000000 1.177594
865.000000 1.132972
870.000000 1.122005
875.000000 1.101392
880.000000 1.088142
885.000000 1.076856
890.000000 1.059587
895.000000 1.040381
900.000000 1.027385
905.000000 1.011914
910.000000 0.991847
915.000000 0.972799
920.000000 0.958546
925.000000 0.953653
930.000000 0.944812
935.000000 0.931186
940.000000 0.911796
945.000000 0.888809
950.000000 0.871393
955.000000 0.858712
960.000000 0.848137
965.000000 0.835962
970.000000 0.818878
975.000000 0.813283
980.000000 0.809725
985.000000 0.791793
990.000000 0.771607
995.000000 0.756550
1000.000000 0.750109
1005.000000 0.737716
1010.000000 0.721287
1015.000000 0.706794
1020.000000 0.699095
1025.000000 0.685689
1030.000000 0.667571
1035.000000 0.657512
1040.000000 0.641720
1045.000000 0.627439
1050.000000 0.608316
1055.000000 0.595049
1060.000000 0.594358
1065.000000 0.580773
1070.000000 0.578232
1075.000000 0.576882
1080.000000 0.562076
1085.000000 0.551733
1090.000000 0.537814
1095.000000 0.526844
1100.000000 0.523264
