wl val
190.000000 0.522879
195.000000 0.370949
200.000000 0.520744
205.000000 1.210513
210.000000 1.819157
215.000000 2.154659
220.000000 1.551828
225.000000 1.049429
230.000000 0.748992
235.000000 0.574747
240.000000 0.469090
245.000000 0.380725
250.000000 0.298228
255.000000 0.222437
260.000000 0.158468
265.000000 0.109592
270.000000 0.075767
275.000000 0.054061
280.000000 0.039979
285.000000 0.030994
290.000000 0.023608
295.000000 0.016909
300.000000 0.011492
305.000000 0.006297
310.000000 0.002536
315.000000 0.000327
320.000000 -0.000656
325.000000 -0.001576
330.000000 -0.002963
335.000000 -0.003857
340.000000 -0.004816
345.000000 -0.005879
350.000000 -0.007145
355.000000 -0.008368
360.000000 -0.009507
365.000000 -0.009835
370.000000 -0.009393
375.000000 -0.009405
380.000000 -0.009854
385.000000 -0.010039
390.000000 -0.009560
395.000000 -0.009658
400.000000 -0.010403
405.000000 -0.010473
410.000000 -0.010678
415.000000 -0.011028
420.000000 -0.010680
425.000000 -0.010249
430.000000 -0.009786
435.000000 -0.009176
440.000000 -0.008732
445.000000 -0.007725
450.000000 -0.006277
455.000000 -0.004016
460.000000 0.000393
465.000000 0.005062
470.000000 0.008476
475.000000 0.011757
480.000000 0.016613
485.000000 0.023249
490.000000 0.032448
495.000000 0.042934
500.000000 0.050671
505.000000 0.051748
510.000000 0.045761
515.000000 0.033622
520.000000 0.019518
525.000000 0.008136
530.000000 0.000490
535.000000 -0.003866
540.000000 -0.006010
545.000000 -0.006967
550.000000 -0.007904
555.000000 -0.008415
560.000000 -0.008058
565.000000 -0.007319
570.000000 -0.006955
575.000000 -0.007007
580.000000 -0.007203
585.000000 -0.006609
590.000000 -0.005741
595.000000 -0.005207
600.000000 -0.004057
605.000000 -0.002534
610.000000 -0.000856
615.000000 0.001483
620.000000 0.003321
625.000000 0.005148
630.000000 0.007758
635.000000 0.010505
640.000000 0.012017
645.000000 0.012748
650.000000 0.016016
655.000000 0.019855
660.000000 0.022856
665.000000 0.025393
670.000000 0.028440
675.000000 0.031646
680.000000 0.035265
685.000000 0.037952
690.000000 0.039733
695.000000 0.043394
700.000000 0.048179
705.000000 0.051787
710.000000 0.054532
715.000000 0.057528
720.000000 0.059771
725.000000 0.062637
730.000000 0.065273
735.000000 0.066964
740.000000 0.069544
745.000000 0.071972
750.000000 0.073962
755.000000 0.076613
760.000000 0.078762
765.000000 0.079173
770.000000 0.079303
775.000000 0.080128
780.000000 0.081102
785.000000 0.081661
790.000000 0.082202
795.000000 0.081335
800.000000 0.079861
805.000000 0.081194
810.000000 0.083944
815.000000 0.083823
820.000000 0.082745
825.000000 0.080069
830.000000 0.077774
835.000000 0.077237
840.000000 0.077171
845.000000 0.080574
850.000000 0.080101
855.000000 0.076856
860.000000 0.074194
865.000000 0.073354
870.000000 0.072730
875.000000 0.070745
880.000000 0.067851
885.000000 0.067544
890.000000 0.067358
895.000000 0.066225
900.000000 0.064762
905.000000 0.063613
910.000000 0.063229
915.000000 0.060731
920.000000 0.060768
925.000000 0.060985
930.000000 0.060437
935.000000 0.060140
940.000000 0.057252
945.000000 0.053254
950.000000 0.053433
955.000000 0.054023
960.000000 0.052554
965.000000 0.050341
970.000000 0.050057
975.000000 0.052764
980.000000 0.052405
985.000000 0.049679
990.000000 0.048959
995.000000 0.047263
1000.000000 0.045845
1005.000000 0.046619
1010.000000 0.045732
1015.000000 0.041027
1020.000000 0.042173
1025.000000 0.041218
1030.000000 0.029637
1035.000000 0.023821
1040.000000 0.029235
1045.000000 0.034677
1050.000000 0.030663
1055.000000 0.025895
1060.000000 0.027476
1065.000000 0.029499
1070.000000 0.030793
1075.000000 0.025984
1080.000000 0.015781
1085.000000 0.007826
1090.000000 0.011597
1095.000000 0.021387
1100.000000 0.024685
