wl val
190.000000 144524.206282
195.000000 124432.433645
200.000000 103503.786357
205.000000 103802.821306
210.000000 75005.332064
215.000000 28970.822331
220.000000 10833.188580
225.000000 4680.004025
230.000000 2399.536883
235.000000 1486.554997
240.000000 1433.590315
245.000000 1370.192151
250.000000 1022.456827
255.000000 847.602309
260.000000 718.251580
265.000000 671.870956
270.000000 495.653165
275.000000 313.208546
280.000000 218.277680
285.000000 176.939727
290.000000 186.828924
295.000000 177.607719
300.000000 161.525345
305.000000 208.735609
310.000000 268.970390
315.000000 359.952794
320.000000 417.002605
325.000000 458.585844
330.000000 501.874542
335.000000 469.433391
340.000000 416.988988
345.000000 373.602415
350.000000 366.591905
355.000000 403.663632
360.000000 453.887975
365.000000 487.675332
370.000000 456.793386
375.000000 431.718660
380.000000 442.851987
385.000000 423.854944
390.000000 387.232870
395.000000 361.097124
400.000000 360.623106
405.000000 335.457904
410.000000 277.376983
415.000000 242.443705
420.000000 238.178229
425.000000 227.319830
430.000000 224.616945
435.000000 242.585979
440.000000 305.553175
445.000000 357.095200
450.000000 454.023772
455.000000 545.375943
460.000000 584.241794
465.000000 627.702749
470.000000 538.200248
475.000000 523.869371
480.000000 594.857687
485.000000 671.232786
490.000000 733.040621
495.000000 722.915684
500.000000 829.532659
505.000000 935.179612
510.000000 910.680309
515.000000 811.861743
520.000000 769.874478
525.000000 826.725993
530.000000 1089.468876
535.000000 1163.151775
540.000000 1170.518294
545.000000 1531.362593
550.000000 1761.084839
555.000000 1695.651482
560.000000 1630.116985
565.000000 1971.863193
570.000000 2329.612666
575.000000 2613.535873
580.000000 2744.792991
585.000000 2454.544809
590.000000 2477.253684
595.000000 2888.425962
600.000000 3378.063476
605.000000 3640.609001
610.000000 3988.213712
615.000000 3993.141292
620.000000 3794.578240
625.000000 4068.962223
630.000000 3908.399597
635.000000 3953.483350
640.000000 4630.915365
645.000000 4788.186218
650.000000 5097.108999
655.000000 5611.421579
660.000000 6000.088192
665.000000 6047.939057
670.000000 5782.307182
675.000000 5686.591743
680.000000 5111.519331
685.000000 4798.810088
690.000000 5342.626165
695.000000 5871.255352
700.000000 5595.460026
705.000000 4778.363685
710.000000 3781.453457
715.000000 3045.608488
720.000000 3110.656646
725.000000 3225.303760
730.000000 4039.321156
735.000000 5137.780895
740.000000 6187.072291
745.000000 7793.844379
750.000000 9217.268529
755.000000 13112.825746
760.000000 16900.937907
765.000000 16843.239696
770.000000 16927.384254
775.000000 17176.295602
780.000000 19100.436565
785.000000 20400.250475
790.000000 21396.295635
795.000000 22905.265431
800.000000 23126.579228
805.000000 22028.957732
810.000000 16131.703696
815.000000 10394.665445
820.000000 7989.407552
