wl val
190.000000 131829.512487
195.000000 119822.391497
200.000000 95327.437804
205.000000 84803.467805
210.000000 59781.246141
215.000000 25062.943484
220.000000 9593.514754
225.000000 4351.153396
230.000000 2284.142764
235.000000 1399.274426
240.000000 1347.411620
245.000000 1269.955730
250.000000 1018.668684
255.000000 925.940052
260.000000 756.165634
265.000000 628.159322
270.000000 470.363361
275.000000 291.601983
280.000000 195.427427
285.000000 176.139374
290.000000 177.617244
295.000000 172.984118
300.000000 176.283656
305.000000 232.768452
310.000000 279.383794
315.000000 296.762506
320.000000 340.480901
325.000000 435.987640
330.000000 493.395711
335.000000 468.011163
340.000000 419.531409
345.000000 362.259629
350.000000 363.012113
355.000000 402.164911
360.000000 435.332446
365.000000 458.510856
370.000000 479.155486
375.000000 456.429956
380.000000 462.333890
385.000000 455.791969
390.000000 360.314820
395.000000 306.569743
400.000000 290.985869
405.000000 288.367808
410.000000 286.875010
415.000000 269.034875
420.000000 250.461286
425.000000 245.701051
430.000000 238.612895
435.000000 221.283244
440.000000 287.201001
445.000000 346.487138
450.000000 411.083547
455.000000 537.448977
460.000000 607.144617
465.000000 619.253813
470.000000 572.801969
475.000000 551.295202
480.000000 588.373689
485.000000 701.703284
490.000000 792.670679
495.000000 777.296933
500.000000 891.759270
505.000000 1017.385727
510.000000 957.370816
515.000000 931.836633
520.000000 986.058484
525.000000 1047.665838
530.000000 1130.929955
535.000000 1166.017876
540.000000 1254.517244
545.000000 1439.960624
550.000000 1723.728334
555.000000 1838.667461
560.000000 1781.182069
565.000000 2111.647250
570.000000 2587.851103
575.000000 2536.217874
580.000000 2418.031995
585.000000 2773.523929
590.000000 3079.687756
595.000000 2835.065495
600.000000 3068.742468
605.000000 3779.584717
610.000000 3693.221195
615.000000 3651.884150
620.000000 3698.322674
625.000000 3788.191197
630.000000 4121.024540
635.000000 4478.650367
640.000000 4993.526634
645.000000 4873.785636
650.000000 4380.601310
655.000000 4125.046850
660.000000 4531.651419
665.000000 5022.567881
670.000000 4877.194815
675.000000 4867.609109
680.000000 4724.084179
685.000000 4645.450002
690.000000 4957.909839
695.000000 5854.610452
700.000000 5964.473992
705.000000 4851.102082
710.000000 4077.992501
715.000000 3337.781202
720.000000 2736.399818
725.000000 2939.649281
730.000000 3561.295756
735.000000 4193.032204
740.000000 5030.865495
745.000000 7522.149756
750.000000 8962.602260
755.000000 9662.195158
760.000000 15090.990462
765.000000 17531.381828
770.000000 18729.782578
775.000000 20514.329951
780.000000 18117.616959
785.000000 16581.081388
790.000000 18565.659438
795.000000 20617.841919
800.000000 21718.421324
805.000000 20884.758874
810.000000 16027.183773
815.000000 11731.497222
820.000000 9671.937027
