wl val
190.000000 140618.146653
195.000000 125870.719716
200.000000 97734.759865
205.000000 88872.998810
210.000000 63437.237023
215.000000 25771.540114
220.000000 10063.084672
225.000000 4459.148985
230.000000 2223.760045
235.000000 1387.910355
240.000000 1516.984179
245.000000 1444.251049
250.000000 1081.260811
255.000000 909.527481
260.000000 748.555339
265.000000 622.626816
270.000000 457.297180
275.000000 310.131982
280.000000 223.332251
285.000000 183.687620
290.000000 185.163742
295.000000 190.022976
300.000000 196.936712
305.000000 222.510487
310.000000 248.493170
315.000000 281.373107
320.000000 336.154286
325.000000 443.381681
330.000000 463.288711
335.000000 421.482151
340.000000 415.455802
345.000000 383.618716
350.000000 410.779580
355.000000 507.066624
360.000000 569.350747
365.000000 531.921776
370.000000 460.173380
375.000000 411.798263
380.000000 386.229804
385.000000 395.214472
390.000000 382.116322
395.000000 339.850223
400.000000 364.305142
405.000000 342.798365
410.000000 286.525419
415.000000 285.229721
420.000000 259.343946
425.000000 229.602748
430.000000 215.627937
435.000000 233.854337
440.000000 302.780273
445.000000 392.498749
450.000000 442.834877
455.000000 576.086982
460.000000 664.966734
465.000000 640.746709
470.000000 591.151788
475.000000 556.922052
480.000000 602.379154
485.000000 659.169423
490.000000 767.551368
495.000000 931.974567
500.000000 888.434708
505.000000 856.088725
510.000000 900.528747
515.000000 810.492421
520.000000 883.108396
525.000000 1011.884394
530.000000 1120.854077
535.000000 1311.087992
540.000000 1450.749333
545.000000 1463.747794
550.000000 1658.636229
555.000000 2051.760923
560.000000 1913.970703
565.000000 1712.884602
570.000000 2209.595171
575.000000 2524.475454
580.000000 2509.408856
585.000000 2431.253255
590.000000 2196.450253
595.000000 2193.407471
600.000000 2891.254967
605.000000 3517.476993
610.000000 3549.177198
615.000000 3705.639664
620.000000 4172.057872
625.000000 4278.396035
630.000000 3891.808514
635.000000 4342.887295
640.000000 5062.947620
645.000000 4584.468024
650.000000 4001.308815
655.000000 4000.481036
660.000000 3993.259162
665.000000 3930.970875
670.000000 4775.843192
675.000000 5949.048541
680.000000 5823.861048
685.000000 5127.222862
690.000000 5339.094468
695.000000 6226.036543
700.000000 6173.824288
705.000000 5161.946001
710.000000 4341.251998
715.000000 3807.943963
720.000000 3547.630806
725.000000 3544.721567
730.000000 4127.690540
735.000000 5354.687721
740.000000 6719.405410
745.000000 7839.923597
750.000000 8486.772211
755.000000 10707.436507
760.000000 14106.052265
765.000000 16782.728538
770.000000 18880.620912
775.000000 19472.002830
780.000000 18985.647097
785.000000 20953.802945
790.000000 23139.159132
795.000000 24179.726529
800.000000 25389.486321
805.000000 23218.106567
810.000000 16246.877328
815.000000 9671.227885
820.000000 7061.274896
